Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Notes,Location,City,lon,lat,Reason for tow,Trade Name,Merchant,Address,lot_lon,lot_lat,tow_dist
2022-10-09,2017.0,TOYT,CAM,UNAUTH PKG / WALK OFF / HENRY'S // 301 927 0007 // TCL,909 THAYER AVE,SILVER SPRING,-77.02486,38.99304,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31673.0
2023-02-16,2007.0,HOND,ODY,NOP // AUBURN // 301-977-2740 // TCL,301 WEST SIDE DR,GAITHERSBURG,-77.20378,39.12506,NOP,"Auburn Towing, Inc.","Auburn Towing, Inc.","375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,8716.4
2023-11-29,2024.0,TOYT,CAM,SPEEDY 3015881322  NOP   TCL,14000 CASTLE BLVD,SILVER SPRING,-76.942182024,39.085869998,NOP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,23400.5
2022-04-24,2002.0,LEXS,GS300,RESERVED NO PERMIT // AUBURN 301-977-2740 // TCL,116 DUVALL LN,GAITHERSBURG,-77.20232,39.12875,,"Auburn Towing, Inc.","Auburn Towing, Inc.","375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,6078.8
2024-05-04,2006.0,SCIO,TC,PRV - 2HR HARRIS TEETER PARKING  // DIVERSIFIED TOWING 301 881 8035 // TCL,4805 BATTERY LN,BETHESDA,-77.096540973,38.992794998,PVT,Diversified Recovery,Diversified Recovery,"12527 Parklawn Drive, Rockville, MD 20852",-77.117447177077,39.061616842557,8493.4
2022-05-02,2020.0,KIA,OPT,SPEEDY (301) 588-1322  NOP TCL,18211 CHALET DR,GERMANTOWN,-77.27466,39.15576,NOP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,17545.9
2023-01-07,2007.0,TOYT,RAV,UNAUTHORIZED PRKG  HENRYS!@301-869-4800//TCL,4 BRIAN CT,GAITHERSBURG,-77.18254,39.14489,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,4453.1
2022-05-08,2004.0,NISS,MAX,NOP // AUTHO // 301 562 400 // TCL,2399 JONES LN,SILVER SPRING,-77.04922,39.05365,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,17899.2
2024-05-23,2022.0,BUIC,INVISION,PARED IN HADICAPPED PARKING- NO HANDICAPPED PERMIT/ AUTHORIZED TOWING 301-562-4020/ LOT,4716 BRADLEY BLVD,CHEVY CHASE,-77.093037002,38.977441992,PKG,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,26899.0
2023-06-20,2018.0,FORD,EDG,RESERVED // DIVERSIFIED 301-881-8035 // TCL,3 POOKS HILL RD,BETHESDA,-77.104682986,39.014045009,NOP,Diversified Recovery,Diversified Recovery,"12527 Parklawn Drive, Rockville, MD 20852",-77.117447177077,39.061616842557,6550.7
2023-02-02,2018.0,HOND,CRV,EXP PERMIT// AUTHORIZED 301 562 4020 // TCL,13205 TWINBROOK PKWY,ROCKVILLE,-77.11239,39.07254,EXP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,15058.5
2023-09-03,2008.0,KIA,SPT,NOP // DRIVE @ 301-585-8808 // TCL,475 SOUTHAMPTON DR,SILVER SPRING,-76.984190952,39.006229352,NOP,Drive Towing,Drive Towing,"14608 Old Gunpowder Rd, Laurel, MD 20707",-76.915644786956,39.088537803649,12472.5
2023-03-08,1998.0,TOYT,4RN,"UNREG // SILVER SPRING TOWING 301 589 7878 , ABAN AUTO  VRS 23-1061",17517 BUEHLER RD,OLNEY,-77.06186,39.14424,ABN,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,11701.3
2023-11-17,2018.0,NISS,RGE,REASON: RESIDENT PARKED IN VISITOR//HENRYS/301-869-4800/TCL,30 ORCHARD DR,GAITHERSBURG,-77.249816981,39.118188982,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,10988.1
2023-11-29,2022.0,,,NO TRACT TRAIL PKG // BIG TOW 301-424-4869 // TCL,16571 S FREDERICK AVE,GAITHERSBURG,-77.183358966,39.12745899,PKG,Big Tow,Big Tow,"375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,3948.7
2024-03-16,,HYUN,SFE,NO PERMIT  HENRYS - 301-869-4800  BACK TO LOT,5454 NICHOLSON LN,ROCKVILLE,-77.107691,39.044263991,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,20576.6
2022-08-30,2005.0,CADI,ESC,NO PERMIT  HENRYS@301-869-4800//TCL,11225 OAK LEAF DR,SILVER SPRING,-76.99446,39.04085,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,30446.0
2023-08-07,2007.0,LEXS,ES350,AUTHORIZED 301-562-4020 // NOP // TCL,728 CLOPPER RD,GAITHERSBURG,-77.227269997,39.144583009,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,8210.4
2024-05-10,2014.0,KIA,SOL,NOT PARKED IN MARKED SPACE // HENRY'S 301-869-4800 // TCL,1620 UNIVERSITY BLVD W,SILVER SPRING,-77.03956901,39.036345984,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,21912.4
2022-07-27,2022.0,TOYT,CAM,REASON- NOP  HENRYS// 301-869-4800  TOW TCL,19550 WATERS RD,GERMANTOWN,-77.27313,39.17653,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,12661.9
2023-10-14,2021.0,HYUN,TCN,NO VISITOR PERMIT // BIG TOW 301 424 4869 // TCL,19023 PARTRIDGE WOOD DR,GERMANTOWN,-77.258106012,39.166516983,NOP,Big Tow,Big Tow,"375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,15918.0
2021-09-16,1998.0,CHEV,C15,FIRE // BIG TOW 301-424-4869 // TCL,1035 TRAVIS LN,GAITHERSBURG,-77.21693,39.16083,FIRE,Big Tow,Big Tow,"375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,9160.8
2023-02-24,2019.0,ACUR,CSX,AUTHORIZE TOW 301-562-4020//INVALID PEMIRT//TCL,9727 MT PISGAH RD,SILVER SPRING,-76.97482,39.01713,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,32835.5
2024-02-03,2020.0,INFI,QX50,NOP HENRYS 301-927-0007,10401 MOTOR CITY DR,BETHESDA,-77.14294101,39.027237999,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,21578.0
2023-10-05,2012.0,BMW,550,INOPERABLE VEH // HENRYS 301-869-4800 /TCL,113 ELLINGTON BLVD,GAITHERSBURG,-77.205358025,39.115245007,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11147.8
2022-12-07,2006.0,SCIO,XA,HENRYS TOWING 301-869-4800  BACK TO LOT  NO PERMIT,4949 BATTERY LN,BETHESDA,-77.10055,38.9925,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,26005.6
2023-11-02,2010.0,ACUR,MDX,NOP // HENRYS 301-927-0007 // TCL,1131 UNIVERSITY BLVD W,SILVER SPRING,-77.029221969,39.037589021,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,22844.4
2023-08-09,2008.0,TOYT,SQA,FIRE // HENRY'S TOWING 301 869 4800 // TCL,2900 SHEPPERTON TER,SILVER SPRING,-76.950966767,39.082935616,FIRE,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,29738.9
2023-10-03,2021.0,NISS,RGE,REASON: NOP  BACK TO TCL > HENRYS 301-869-4800,5230 TUCKERMAN LN,ROCKVILLE,-77.10184303,39.027490001,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,22834.6
2024-06-29,2004.0,TOYT,CAM,PKG // HENRYS 301-869-4800 // TCL,9450 HORIZON RUN RD,MONTGOMERY VILLAGE,-77.196419983,39.157485985,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,4916.5
2023-05-05,2014.0,HOND,ACC,UNAUTH PARKING / WALKOFF / NO OVERNIGHT // HENRY'S // 301-869-4800 // TCL,19294 MONTGOMERY VILLAGE AVE,MONTGOMERY VILLAGE,-77.20414197899998,39.17235900100008,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,3579.3
2021-12-08,2011.0,TOYT,PRI,PARKED IN NO PRKG ZONE  AUITHORIZED@301-562-4020//TCL,11225 OAK LEAF DR,SILVER SPRING,-76.99446,39.04085,PKG,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,29906.0
2022-07-19,2010.0,FORD,FUS,UNAUTHORIZED PRKG  HENRYS@301-869-4800//TCL,2511 GLENALLAN AVE,SILVER SPRING,-77.05187,39.06379,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,17401.0
2023-05-15,2022.0,MAZD,CX30,REASON : NOP  TOW CO: HENRYS   301-869-4800  TCL,APPLEDOWRE WAY / BRANDERMILL DR,GERMANTOWN,-77.23701961899997,39.18604609300007,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,10233.5
2023-03-26,2017.0,HYUN,SFE,FIRE LANE // SPEEDY TOWING  301-588-1322 / TCL,1001 ROCKVILLE PIKE,ROCKVILLE,-77.13343,39.07186,PKG,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,4544.9
2023-05-31,2016.0,NISS,SEN,NO HANDICAP PERMIT // HENRY'S // 301-869-4800 // TCL,15704 MAHOGANY CIR,GAITHERSBURG,-77.20061,39.11403,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11361.5
2021-08-24,2019.0,FORD,TCN,REASON : NO COMMERCIAL VEHS   TOW CO : HENRYS  301-869-4800  TCL,3800 BEL PRE RD,SILVER SPRING,-77.07511,39.09183,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,13543.4
2024-07-16,2013.0,TOYT,VNZ,INVALID PERMIT//NEG 10-60//7600 MAPLE AVE APT 1409 TP MD 20912,7600 MAPLE AVE,TAKOMA PARK,-77.008042995,38.983774981,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,34370.8
2022-08-26,2021.0,TOYT,TAC,NOP   HENRYS   301-869-4800  TCL,DOCENA DR / PIER POINT PL,MONTGOMERY VILLAGE,-77.19843,39.15955,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,3833.2
2023-10-17,2017.0,NISS,SE,EXP PERMIT // HENRYS // 3018694800 TCL,11225 OAK LEAF DR,SILVER SPRING,-76.994359036,39.040621006,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,30446.0
2022-06-15,2010.0,ACUR,MDX,NO PARKING PERMIT // SPEEDY // 301-588-1322 // TCL,2 MANCHESTER PL,SILVER SPRING,-77.00789,39.00158,PKG,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,20518.5
2024-06-21,2003.0,HOND,ACC,REASON: NOP//BIG TOW//301-424-4869/TCL,19411 BRASSIE PL,MONTGOMERY VILLAGE,-77.201012008,39.17441898,NOP,Big Tow,Big Tow,"375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,10834.7
2022-11-20,2018.0,HYUN,ELN,NO PERMIT// HENRYS 301 869 4800 // TCL,2425 BLUERIDGE AVE,SILVER SPRING,-77.05104,39.04304,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,19594.8
2022-06-29,2008.0,KENWORTH,T800,NO PERMIT // HENRY'S // 301 869 4800 // TCL,19134 MONTGOMERY VILLAGE AVE,MONTGOMERY VILLAGE,-77.20481,39.17076,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,3709.2
2022-12-04,2000.0,TOYT,CAM,NO PERMIT // AUTHORIZED 301-562-4020 // TCL,13901 CASTLE BLVD,SILVER SPRING,-76.94013,39.08349,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,30065.4
2022-02-02,2021.0,TESL,,UNREADABLE VIN  NOP  HENRY'S 301-927-0007  TCL,5025 BRADLEY BLVD,CHEVY CHASE,-77.09954,38.97795,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,27492.0
2022-07-23,,BUIC,,BUICK VUE  INVALID PERMIT  MILLERS TOWING - 301-602-0392  BACK TO LOT,9316 PINEY BRANCH RD,SILVER SPRING,-76.98586,39.00138,NOP,"Millers's Towing & Recovery, LLC","Millers's Towing & Recovery, LLC","18625 Mooney Drive, Gaithersburg, MD 20879",-77.165309428477,39.1625786911,34154.3
2023-02-06,2004.0,CHRY,TOW,"PKG - WALK OFF  HENRY'S - 301-927-0007, TCL",9440 GEORGIA AVE,SILVER SPRING,-77.04117,39.00974,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,29292.4
2022-06-14,1998.0,FORD,EC1,PRV - EXPIRED PERMIT // AUTHORIZED TOWING 301 562 4020 // TCL,14120 WEEPING WILLOW DR,SILVER SPRING,-77.06679,39.0894,PVT,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13797.5
2022-05-13,2015.0,CHEV,EQX,PARKED IN HANDICAP SPACE NOP// HENRYS 301-8694800//TCL,9701 FIELDS RD,GAITHERSBURG,-77.19925,39.11477,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11886.0
2022-04-07,,NISS,SE,NO PERMIT  AUTHORIZED - 301-562-4020  BACK TO LOT,19757 CRYSTAL ROCK DR,GERMANTOWN,-77.26139,39.17946,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13107.9
2023-03-13,2012.0,MAZD,MZ3,SPEEDY 301-588-1322 // NOP // TCL,14103 FALL ACRE CT,SILVER SPRING,-77.05712,39.10717,NOP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,9898.7
2024-01-12,2006.0,DODG,R15,UNREGISTERED// GOING TO ABANDON AUTO  SILVER SPRING TOWING@ 301-589-7878,OSAGE ST / 10TH AVE,SILVER SPRING,-76.991302016,38.99479192,ABN,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,21638.8
2023-07-01,2017.0,HOND,ACC,NOP // HENRYS 301-869-4800 // TCL,9912 BROOKRIDGE CT,MONTGOMERY VILLAGE,-77.20171701,39.188773995,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,5252.1
2022-02-21,2010.0,MAZD,MZ6,NO PERMIT DISPLAYED  HENRYS@301-869-4800//TCL,12940 KITCHEN HOUSE WAY,GERMANTOWN,-77.26714,39.15294,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11338.1
2022-09-06,2009.0,NISS,VRS,"FIRE LANE// HENRY'S, 301-869-4800, TCL",18727 WINDING CREEK PL,GERMANTOWN,-77.24926,39.16239,FIRE,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11027.4
2023-12-07,2010.0,VOLK,ROUTAN,PER MGMT // HENRYS // 301-869-4800 - TCL,802 PLEASANT DR,ROCKVILLE,-77.171919009,39.114003018,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,8163.2
2023-02-18,2022.0,KIA,FRT,NOP- AUTHROIZED- 301-562-4020- TCL,9737 MT PISGAH RD,SILVER SPRING,-76.97394,39.01707,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,32920.9
2023-11-12,2005.0,LEXS,300,,18642 CARRIAGE WALK CIR,GAITHERSBURG,-77.168007007,39.163318993,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,853.8
2022-05-20,2020.0,HYUN,VEN,AUTHORIZED TOWING 301-562-4020 TCL // NOP  HYUN VENUNE,805 QUINCE ORCHARD BLVD,GAITHERSBURG,-77.22856,39.14058,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,8508.0
2023-06-04,2014.0,TOYT,COA,HENRYS // 301-869-4800 // TCL // NO PERMIT,3411 GATESHEAD MANOR WAY,SILVER SPRING,-76.93709404099997,39.07810898500003,PVT,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31051.2
2022-09-06,2015.0,TOYT,CAM,NO PERMIT // AUTHORIZED // 301 562 4020 // TCL,8021 GEORGIA AVE,SILVER SPRING,-77.02665,38.98763,NO PERMIT,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,31576.3
